"TimestampLSL_s","Marker"
"1057327.375872802","{""event"":""EXP_START"",""participant"":350,""block"":1,""lsl_time_s"":1057327.375890}"
"1057327.3781759022","{""event"":""BLOCK_START"",""participant"":350,""block"":1,""lsl_time_s"":1057327.378193}"
"1057327.4820487006","{""event"":""first_trial_start"",""participant"":350,""block"":1,""trialIndex"":0,""lsl_time_s"":1057327.482066}"
"1057327.4820487006","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":0,""stimulus"":""target"",""lsl_t"":1057327.482066}"
"1057329.590172971","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":1,""stimulus"":""target"",""lsl_t"":1057329.590190}"
"1057331.6937721414","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":2,""stimulus"":""target"",""lsl_t"":1057331.693790}"
"1057333.7973150115","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":3,""stimulus"":""target"",""lsl_t"":1057333.797332}"
"1057335.903474782","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":4,""stimulus"":""target"",""lsl_t"":1057335.903492}"
"1057338.0119540521","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":5,""stimulus"":""nonTarget"",""lsl_t"":1057338.011972}"
"1057340.1198931225","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":6,""stimulus"":""nonTarget"",""lsl_t"":1057340.119911}"
"1057342.2298782927","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":7,""stimulus"":""nonTarget"",""lsl_t"":1057342.229896}"
"1057344.3390128629","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":8,""stimulus"":""target"",""lsl_t"":1057344.339030}"
"1057346.4463783335","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":9,""stimulus"":""nonTarget"",""lsl_t"":1057346.446396}"
"1057348.5563339037","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":10,""stimulus"":""target"",""lsl_t"":1057348.556352}"
"1057350.663167474","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":11,""stimulus"":""nonTarget"",""lsl_t"":1057350.663185}"
"1057352.7712177443","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":12,""stimulus"":""target"",""lsl_t"":1057352.771235}"
"1057354.8797313145","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":13,""stimulus"":""target"",""lsl_t"":1057354.879749}"
"1057356.9900591848","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":14,""stimulus"":""target"",""lsl_t"":1057356.990077}"
"1057359.100121055","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":15,""stimulus"":""target"",""lsl_t"":1057359.100139}"
"1057361.2065857253","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":16,""stimulus"":""target"",""lsl_t"":1057361.206604}"
"1057363.3129236957","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":17,""stimulus"":""target"",""lsl_t"":1057363.312942}"
"1057365.4184052658","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":18,""stimulus"":""nonTarget"",""lsl_t"":1057365.418423}"
"1057367.5254661364","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":19,""stimulus"":""target"",""lsl_t"":1057367.525484}"
"1057369.6326711066","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":20,""stimulus"":""nonTarget"",""lsl_t"":1057369.632689}"
"1057371.741931777","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":21,""stimulus"":""target"",""lsl_t"":1057371.741950}"
"1057373.8515241472","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":22,""stimulus"":""target"",""lsl_t"":1057373.851542}"
"1057375.9582307176","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":23,""stimulus"":""target"",""lsl_t"":1057375.958249}"
"1057378.0660512878","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":24,""stimulus"":""nonTarget"",""lsl_t"":1057378.066069}"
"1057380.174167258","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":25,""stimulus"":""target"",""lsl_t"":1057380.174185}"
"1057382.2798173283","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":26,""stimulus"":""nonTarget"",""lsl_t"":1057382.279835}"
"1057384.3894294987","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":27,""stimulus"":""target"",""lsl_t"":1057384.389448}"
"1057386.497417369","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":28,""stimulus"":""nonTarget"",""lsl_t"":1057386.497436}"
"1057388.6056564392","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":29,""stimulus"":""target"",""lsl_t"":1057388.605675}"
"1057390.7115949097","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":30,""stimulus"":""target"",""lsl_t"":1057390.711613}"
"1057392.8203812798","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":31,""stimulus"":""target"",""lsl_t"":1057392.820400}"
"1057394.9259933503","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":32,""stimulus"":""nonTarget"",""lsl_t"":1057394.926012}"
"1057397.0309071206","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":33,""stimulus"":""target"",""lsl_t"":1057397.030925}"
"1057399.1427878907","{""event"":""trial_onset"",""participant"":350,""block"":1,""trial"":34,""stimulus"":""target"",""lsl_t"":1057399.142806}"
