Algorithm,Fold,Train_Size,Test_Size,Accuracy,Balanced_Accuracy,Precision,Recall,F1,TN,FP,FN,TP,Macro_Precision,Macro_Recall,Macro_F1
RF,7,1930,160,0.0,0.0,0.0,0.0,0.0,0,160,0,0,0.0,0.0,0.0
KNN,7,1930,160,0.1125,0.1125,0.0,0.0,0.0,18,142,0,0,0.5,0.0563,0.1011
XGB,7,1930,160,0.0875,0.0875,0.0,0.0,0.0,14,146,0,0,0.5,0.0437,0.0805
MLP,7,1930,160,0.45,0.45,0.0,0.0,0.0,72,88,0,0,0.5,0.225,0.3103
EEG_VGG16,7,1930,160,0.0,0.0,0.0,0.0,0.0,0,160,0,0,0.0,0.0,0.0
EEG_ResNet,7,1930,160,0.1375,0.1375,0.0,0.0,0.0,22,138,0,0,0.5,0.0688,0.1209
LR,8,1767,323,0.5015479876160991,0.5013802622498275,0.5027932960893855,0.5555555555555556,0.5278592375366569,72,89,72,90,0.5014,0.5014,0.5
LinearSVC,8,1767,323,0.5015479876160991,0.5013802622498275,0.5027932960893855,0.5555555555555556,0.5278592375366569,72,89,72,90,0.5014,0.5014,0.5
SVM_RBF,8,1767,323,0.4953560371517028,0.4948048462541216,0.4977168949771689,0.6728395061728395,0.5721784776902887,51,110,53,109,0.4941,0.4948,0.4785
HGB,8,1767,323,0.5170278637770898,0.5157963346369143,0.5103448275862069,0.9135802469135802,0.6548672566371682,19,142,14,148,0.5431,0.5158,0.4254
RF,8,1767,323,0.5015479876160991,0.5,0.5015479876160991,1.0,0.668041237113402,0,161,0,162,0.2508,0.5,0.334
KNN,8,1767,323,0.48297213622291024,0.48171152518978605,0.49146757679180886,0.8888888888888888,0.6329670329670329,12,149,18,144,0.4457,0.4817,0.3793
XGB,8,1767,323,0.5077399380804953,0.5064603941415535,0.5050847457627119,0.9197530864197531,0.6520787746170679,15,146,13,149,0.5204,0.5065,0.4054
MLP,8,1767,323,0.5015479876160991,0.5011502185415229,0.5024630541871922,0.6296296296296297,0.5589041095890411,60,101,60,102,0.5012,0.5012,0.493
EEG_VGG16,8,1767,323,0.5201238390092879,0.518691051299747,0.5112540192926045,0.9814814814814815,0.6723044397463002,9,152,3,159,0.6306,0.5187,0.3882
EEG_ResNet,8,1767,323,0.5046439628482973,0.5031055900621118,0.5031055900621118,1.0,0.6694214876033058,1,160,0,162,0.7516,0.5031,0.3409
