"TimestampLSL_s","Marker"
"240533.7859275571","{""event"":""EXP_START"",""participant"":1,""block"":1,""lsl_time_s"":240533.785948}"
"240533.7894064571","{""event"":""BLOCK_START"",""participant"":1,""block"":1,""lsl_time_s"":240533.789427}"
"240533.89601285727","{""event"":""first_trial_start"",""participant"":1,""block"":1,""trialIndex"":0,""lsl_time_s"":240533.896033}"
"240533.89601285727","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":0,""stimulus"":""target"",""lsl_t"":240533.896033}"
"240536.0059574609","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":1,""stimulus"":""target"",""lsl_t"":240536.005978}"
"240538.11169426452","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":2,""stimulus"":""target"",""lsl_t"":240538.111714}"
"240540.21783206813","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":3,""stimulus"":""nonTarget"",""lsl_t"":240540.217852}"
"240542.32476297172","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":4,""stimulus"":""target"",""lsl_t"":240542.324783}"
"240544.43620207536","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":5,""stimulus"":""target"",""lsl_t"":240544.436222}"
"240546.54405557897","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":6,""stimulus"":""target"",""lsl_t"":240546.544076}"
"240548.6587806826","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":7,""stimulus"":""target"",""lsl_t"":240548.658801}"
"240550.76830568622","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":8,""stimulus"":""target"",""lsl_t"":240550.768326}"
"240552.88074748983","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":9,""stimulus"":""nonTarget"",""lsl_t"":240552.880768}"
"240554.98858619345","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":10,""stimulus"":""target"",""lsl_t"":240554.988606}"
"240557.09755589708","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":11,""stimulus"":""nonTarget"",""lsl_t"":240557.097576}"
"240559.2046614007","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":12,""stimulus"":""target"",""lsl_t"":240559.204682}"
"240561.3146094043","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":13,""stimulus"":""nonTarget"",""lsl_t"":240561.314630}"
"240563.4230389079","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":14,""stimulus"":""target"",""lsl_t"":240563.423059}"
"240565.53147481155","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":15,""stimulus"":""target"",""lsl_t"":240565.531495}"
"240567.63914891516","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":16,""stimulus"":""target"",""lsl_t"":240567.639169}"
"240569.74684361878","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":17,""stimulus"":""target"",""lsl_t"":240569.746864}"
"240571.85465332237","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":18,""stimulus"":""target"",""lsl_t"":240571.854673}"
"240573.96213312598","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":19,""stimulus"":""target"",""lsl_t"":240573.962153}"
"240576.0705590296","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":20,""stimulus"":""target"",""lsl_t"":240576.070579}"
"240578.17896003323","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":21,""stimulus"":""nonTarget"",""lsl_t"":240578.178980}"
"240580.28538093684","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":22,""stimulus"":""target"",""lsl_t"":240580.285401}"
"240582.39382294044","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":23,""stimulus"":""target"",""lsl_t"":240582.393843}"
"240584.49979054407","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":24,""stimulus"":""nonTarget"",""lsl_t"":240584.499811}"
"240586.6082809477","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":25,""stimulus"":""nonTarget"",""lsl_t"":240586.608301}"
"240588.7174378513","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":26,""stimulus"":""target"",""lsl_t"":240588.717458}"
"240590.8210180549","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":27,""stimulus"":""target"",""lsl_t"":240590.821038}"
"240592.92811665853","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":28,""stimulus"":""target"",""lsl_t"":240592.928137}"
"240595.03228796212","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":29,""stimulus"":""target"",""lsl_t"":240595.032308}"
"240597.14748426576","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":30,""stimulus"":""target"",""lsl_t"":240597.147504}"
"240599.2577173694","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":31,""stimulus"":""target"",""lsl_t"":240599.257737}"
"240601.36450647298","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":32,""stimulus"":""target"",""lsl_t"":240601.364527}"
"240603.4675597766","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":33,""stimulus"":""target"",""lsl_t"":240603.467580}"
"240605.58130938024","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":34,""stimulus"":""target"",""lsl_t"":240605.581329}"
"240607.68912968383","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":35,""stimulus"":""target"",""lsl_t"":240607.689150}"
"240609.80102908745","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":36,""stimulus"":""target"",""lsl_t"":240609.801049}"
"240611.90682729107","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":37,""stimulus"":""target"",""lsl_t"":240611.906847}"
"240614.0158270947","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":38,""stimulus"":""target"",""lsl_t"":240614.015847}"
"240616.1235270983","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":39,""stimulus"":""target"",""lsl_t"":240616.123547}"
"240618.23086660192","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":40,""stimulus"":""target"",""lsl_t"":240618.230887}"
"240620.3418132055","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":41,""stimulus"":""target"",""lsl_t"":240620.341833}"
"240622.45157570916","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":42,""stimulus"":""target"",""lsl_t"":240622.451596}"
