prediction,theta_mean,alpha_mean,beta_mean,tbr_mean,tbr_min,tbr_max,bar_mean,bar_min,bar_max,outlier_features_p01_p99,outlier_features_p05_p95
1,1255844.8864701337,235217.29796436106,316394.0548471115,5.009091950179475,0.6298749501681764,25.510288183077904,1.5982473681651057,0.37687676923149377,3.1879051564900895,10,14
1,96486415.86945319,4311196.883022166,1230590.3182992034,38.10568702164009,4.527846777434712,114.97144241153724,0.733034371988418,0.20927753572002128,1.9893345982197912,19,20
1,32233775.93094642,3577108.083318037,827415.1027810884,20.276513402663973,3.029288276098214,55.33951181043247,0.5551627736214698,0.16866206262992947,1.014545927962321,18,22
1,17355373.283222843,540790.8761173601,507777.95687098993,12.61027020383768,1.3262029180265829,56.0921824730262,2.000839609256689,0.668588244335577,6.795717210639518,15,16
1,20569862.49914377,2977654.5492705246,1100150.870356131,9.331630431267865,1.037701871922224,25.016719112370865,0.7298955186391499,0.29131013763598984,1.9373857206792449,13,18
1,8100916.1442237245,860869.689954818,456715.4561977079,7.224429869191913,0.950937883769839,34.97314256241072,1.4543127915264267,0.2904561870703064,4.355657948753794,13,14
1,18193938.23885634,3307397.62302841,1342843.4497308913,7.742469772688333,1.0502816794482648,16.556293937585675,0.7730404697027418,0.34157233245584373,1.3980751803367604,15,16
1,3000129.313587206,582260.7437999701,356735.320796262,7.214461291317924,2.101062541358748,16.210159121700393,0.8363781508390236,0.24468086263101915,1.9527346655840194,11,17
1,172955693.2448797,23041805.424099885,6123137.625393928,23.427089451465417,9.314935925872069,63.316844460766355,0.38008227658035826,0.19297134101746033,0.8052270578612798,25,26
1,37572859.845116675,3812157.865399476,1489082.336346528,18.493378492939154,6.313222285143602,29.27486685879286,0.8435334476073818,0.2878406232221848,2.234322418989529,18,20
1,23130563.15694002,3687844.8863579486,1044094.7135930888,16.184010106322102,1.6261393474191128,45.15982946573104,0.5764098341937388,0.23255595039977028,1.793709233317718,23,23
1,12762509.497982306,3213544.1227809233,966519.5122279326,8.841427431784881,0.8943819037321754,18.19947876158745,0.8024906806275464,0.22753084094099968,3.550559636849166,20,23
1,4040396.8532390147,1493101.8963255647,928591.5468297855,2.8072743330572854,0.4632109891258084,5.288825608075599,1.0984827973214826,0.5245210852512523,1.7508695350314238,8,11
1,15614980.554615246,843119.053428241,716587.634808723,10.491506964064374,0.8847854059771673,35.72646378998533,1.1383422942624624,0.4499684077213758,3.0615230855084836,13,15
