"TimestampLSL_s","Marker"
"1059240.5263822598","{""event"":""EXP_START"",""participant"":351,""block"":1,""lsl_time_s"":1059240.526401}"
"1059240.5386401596","{""event"":""BLOCK_START"",""participant"":351,""block"":1,""lsl_time_s"":1059240.538659}"
"1059240.6419797584","{""event"":""first_trial_start"",""participant"":351,""block"":1,""trialIndex"":0,""lsl_time_s"":1059240.641999}"
"1059240.6419797584","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":0,""stimulus"":""nonTarget"",""lsl_t"":1059240.641999}"
"1059242.7578435335","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":1,""stimulus"":""target"",""lsl_t"":1059242.757862}"
"1059244.8643705088","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":2,""stimulus"":""target"",""lsl_t"":1059244.864389}"
"1059246.969772184","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":3,""stimulus"":""target"",""lsl_t"":1059246.969791}"
"1059249.0791897594","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":4,""stimulus"":""target"",""lsl_t"":1059249.079209}"
"1059251.1866333347","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":5,""stimulus"":""target"",""lsl_t"":1059251.186652}"
"1059253.29138691","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":6,""stimulus"":""target"",""lsl_t"":1059253.291406}"
"1059255.3990679854","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":7,""stimulus"":""target"",""lsl_t"":1059255.399087}"
"1059257.5146837605","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":8,""stimulus"":""target"",""lsl_t"":1059257.514703}"
"1059259.6220201359","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":9,""stimulus"":""target"",""lsl_t"":1059259.622039}"
"1059261.7462427109","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":10,""stimulus"":""nonTarget"",""lsl_t"":1059261.746262}"
"1059263.8573229862","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":11,""stimulus"":""target"",""lsl_t"":1059263.857342}"
"1059265.9653599616","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":12,""stimulus"":""target"",""lsl_t"":1059265.965379}"
"1059268.071406937","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":13,""stimulus"":""target"",""lsl_t"":1059268.071426}"
"1059270.1754394122","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":14,""stimulus"":""target"",""lsl_t"":1059270.175459}"
"1059272.2847857876","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":15,""stimulus"":""target"",""lsl_t"":1059272.284805}"
"1059274.3948231626","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":16,""stimulus"":""target"",""lsl_t"":1059274.394842}"
"1059276.5105239379","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":17,""stimulus"":""target"",""lsl_t"":1059276.510543}"
"1059278.620006813","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":18,""stimulus"":""target"",""lsl_t"":1059278.620026}"
"1059280.7319467883","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":19,""stimulus"":""target"",""lsl_t"":1059280.731966}"
"1059282.8360127637","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":20,""stimulus"":""nonTarget"",""lsl_t"":1059282.836032}"
"1059284.948873539","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":21,""stimulus"":""target"",""lsl_t"":1059284.948893}"
"1059287.0595910142","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":22,""stimulus"":""target"",""lsl_t"":1059287.059610}"
"1059289.1691098893","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":23,""stimulus"":""target"",""lsl_t"":1059289.169129}"
"1059291.2789464646","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":24,""stimulus"":""target"",""lsl_t"":1059291.278966}"
"1059293.3869497401","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":25,""stimulus"":""target"",""lsl_t"":1059293.386969}"
"1059295.4905504154","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":26,""stimulus"":""target"",""lsl_t"":1059295.490570}"
"1059297.5954775906","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":27,""stimulus"":""nonTarget"",""lsl_t"":1059297.595497}"
"1059299.701659966","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":28,""stimulus"":""target"",""lsl_t"":1059299.701680}"
"1059301.8128902414","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":29,""stimulus"":""target"",""lsl_t"":1059301.812910}"
"1059303.9394509161","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":30,""stimulus"":""target"",""lsl_t"":1059303.939471}"
"1059306.0477504914","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":31,""stimulus"":""target"",""lsl_t"":1059306.047770}"
"1059308.1569574669","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":32,""stimulus"":""target"",""lsl_t"":1059308.156977}"
"1059310.2610587422","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":33,""stimulus"":""target"",""lsl_t"":1059310.261078}"
"1059312.3802810172","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":34,""stimulus"":""target"",""lsl_t"":1059312.380301}"
"1059314.4903087926","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":35,""stimulus"":""target"",""lsl_t"":1059314.490329}"
"1059316.603737268","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":36,""stimulus"":""nonTarget"",""lsl_t"":1059316.603757}"
"1059318.710529243","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":37,""stimulus"":""nonTarget"",""lsl_t"":1059318.710549}"
"1059320.8226528182","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":38,""stimulus"":""target"",""lsl_t"":1059320.822673}"
"1059322.9325802936","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":39,""stimulus"":""target"",""lsl_t"":1059322.932600}"
"1059325.0565184685","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":40,""stimulus"":""target"",""lsl_t"":1059325.056538}"
"1059327.1752989436","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":41,""stimulus"":""target"",""lsl_t"":1059327.175319}"
"1059329.2818048191","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":42,""stimulus"":""target"",""lsl_t"":1059329.281825}"
"1059331.3867579943","{""event"":""trial_onset"",""participant"":351,""block"":1,""trial"":43,""stimulus"":""target"",""lsl_t"":1059331.386778}"
