TimestampLSL_s,Marker
918763.6433403426,"{""event"":""EXP_START"",""participant"":1,""block"":1,""lsl_time_s"":918763.643362}"
918763.6472532426,"{""event"":""BLOCK_START"",""participant"":1,""block"":1,""lsl_time_s"":918763.647275}"
918763.7510818422,"{""event"":""first_trial_start"",""participant"":1,""block"":1,""trialIndex"":0,""lsl_time_s"":918763.751103}"
918763.7510818422,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":0,""stimulus"":""nonTarget"",""lsl_t"":918763.751103}"
918765.8601591346,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":1,""stimulus"":""nonTarget"",""lsl_t"":918765.860181}"
918767.964671727,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":2,""stimulus"":""target"",""lsl_t"":918767.964693}"
918770.0686395195,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":3,""stimulus"":""target"",""lsl_t"":918770.068661}"
918772.1740329119,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":4,""stimulus"":""target"",""lsl_t"":918772.174055}"
918774.2796366044,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":5,""stimulus"":""target"",""lsl_t"":918774.279658}"
918776.3823050968,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":6,""stimulus"":""target"",""lsl_t"":918776.382327}"
918778.4911897891,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":7,""stimulus"":""nonTarget"",""lsl_t"":918778.491211}"
918780.5985863815,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":8,""stimulus"":""nonTarget"",""lsl_t"":918780.598608}"
918782.711242474,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":9,""stimulus"":""target"",""lsl_t"":918782.711264}"
918784.8211774664,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":10,""stimulus"":""nonTarget"",""lsl_t"":918784.821199}"
918786.9276433588,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":11,""stimulus"":""target"",""lsl_t"":918786.927665}"
918789.0346635513,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":12,""stimulus"":""target"",""lsl_t"":918789.034685}"
918791.1493382438,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":13,""stimulus"":""target"",""lsl_t"":918791.149360}"
918793.256493336,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":14,""stimulus"":""target"",""lsl_t"":918793.256515}"
918795.3616750285,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":15,""stimulus"":""target"",""lsl_t"":918795.361697}"
918797.4740910209,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":16,""stimulus"":""nonTarget"",""lsl_t"":918797.474113}"
918799.5824890133,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":17,""stimulus"":""target"",""lsl_t"":918799.582511}"
918801.6940746058,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":18,""stimulus"":""target"",""lsl_t"":918801.694096}"
918803.8029756983,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":19,""stimulus"":""nonTarget"",""lsl_t"":918803.802997}"
918805.9104296906,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":20,""stimulus"":""target"",""lsl_t"":918805.910451}"
918808.0156386831,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":21,""stimulus"":""target"",""lsl_t"":918808.015660}"
918810.1204537755,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":22,""stimulus"":""target"",""lsl_t"":918810.120476}"
918812.2299331678,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":23,""stimulus"":""nonTarget"",""lsl_t"":918812.229955}"
918814.3390264603,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":24,""stimulus"":""target"",""lsl_t"":918814.339048}"
918816.4420569527,"{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":25,""stimulus"":""target"",""lsl_t"":918816.442079}"
