"TimestampLSL_s","Marker"
"80230.46284949753","{""event"":""EXP_START"",""participant"":105,""block"":1,""lsl_time_s"":80230.462864}"
"80230.4670857975","{""event"":""BLOCK_START"",""participant"":105,""block"":1,""lsl_time_s"":80230.467100}"
"80230.57198179686","{""event"":""first_trial_start"",""participant"":105,""block"":1,""trialIndex"":0,""lsl_time_s"":80230.571996}"
"80230.57198179686","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":0,""stimulus"":""target"",""lsl_t"":80230.571996}"
"80233.2931010804","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":1,""stimulus"":""target"",""lsl_t"":80233.293115}"
"80236.02527896389","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":2,""stimulus"":""target"",""lsl_t"":80236.025293}"
"80238.7499792474","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":3,""stimulus"":""target"",""lsl_t"":80238.749993}"
"80241.47520203092","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":4,""stimulus"":""target"",""lsl_t"":80241.475216}"
"80244.2081352144","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":5,""stimulus"":""target"",""lsl_t"":80244.208149}"
"80246.78839979878","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":6,""stimulus"":""target"",""lsl_t"":80246.788414}"
"80248.89628548604","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":7,""stimulus"":""nonTarget"",""lsl_t"":80248.896300}"
"80251.00520997329","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":8,""stimulus"":""nonTarget"",""lsl_t"":80251.005224}"
"80253.11255346054","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":9,""stimulus"":""target"",""lsl_t"":80253.112568}"
"80255.22217394778","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":10,""stimulus"":""target"",""lsl_t"":80255.222188}"
"80257.32787483504","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":11,""stimulus"":""target"",""lsl_t"":80257.327889}"
"80259.4344055223","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":12,""stimulus"":""target"",""lsl_t"":80259.434420}"
"80261.54026340957","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":13,""stimulus"":""nonTarget"",""lsl_t"":80261.540278}"
"80263.64786159682","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":14,""stimulus"":""target"",""lsl_t"":80263.647876}"
"80265.75772998406","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":15,""stimulus"":""target"",""lsl_t"":80265.757744}"
"80267.8666596713","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":16,""stimulus"":""target"",""lsl_t"":80267.866674}"
"80269.97194025856","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":17,""stimulus"":""target"",""lsl_t"":80269.971955}"
"80272.07556104584","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":18,""stimulus"":""nonTarget"",""lsl_t"":80272.075575}"
"80274.17944963311","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":19,""stimulus"":""target"",""lsl_t"":80274.179464}"
"80276.28781232037","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":20,""stimulus"":""target"",""lsl_t"":80276.287827}"
"80278.3975312076","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":21,""stimulus"":""target"",""lsl_t"":80278.397546}"
"80280.50010089489","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":22,""stimulus"":""target"",""lsl_t"":80280.500115}"
"80282.60956128214","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":23,""stimulus"":""target"",""lsl_t"":80282.609576}"
"80284.72057076936","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":24,""stimulus"":""nonTarget"",""lsl_t"":80284.720585}"
"80286.82656025662","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":25,""stimulus"":""target"",""lsl_t"":80286.826575}"
"80288.93358094388","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":26,""stimulus"":""target"",""lsl_t"":80288.933595}"
"80291.03894173115","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":27,""stimulus"":""nonTarget"",""lsl_t"":80291.038956}"
"80293.14416921842","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":28,""stimulus"":""target"",""lsl_t"":80293.144184}"
"80295.24784800569","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":29,""stimulus"":""nonTarget"",""lsl_t"":80295.247863}"
"80297.35444039296","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":30,""stimulus"":""target"",""lsl_t"":80297.354455}"
"80299.46069868021","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":31,""stimulus"":""target"",""lsl_t"":80299.460713}"
"80301.56935596745","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":32,""stimulus"":""target"",""lsl_t"":80301.569371}"
"80303.67686455471","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":33,""stimulus"":""target"",""lsl_t"":80303.676879}"
"80305.78591624196","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":34,""stimulus"":""target"",""lsl_t"":80305.785931}"
"80307.89303352921","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":35,""stimulus"":""target"",""lsl_t"":80307.893048}"
"80309.99979821646","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":36,""stimulus"":""nonTarget"",""lsl_t"":80309.999813}"
"80312.1108662037","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":37,""stimulus"":""target"",""lsl_t"":80312.110881}"
"80314.21818029095","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":38,""stimulus"":""target"",""lsl_t"":80314.218195}"
"80316.3251709782","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":39,""stimulus"":""target"",""lsl_t"":80316.325186}"
"80318.43531776544","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":40,""stimulus"":""target"",""lsl_t"":80318.435332}"
"80320.54464745268","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":41,""stimulus"":""nonTarget"",""lsl_t"":80320.544662}"
"80322.65230303994","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":42,""stimulus"":""target"",""lsl_t"":80322.652318}"
"80324.76238302718","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":43,""stimulus"":""target"",""lsl_t"":80324.762398}"
"80326.86957421442","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":44,""stimulus"":""target"",""lsl_t"":80326.869589}"
"80328.97603910169","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":45,""stimulus"":""target"",""lsl_t"":80328.976054}"
"80331.08094668896","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":46,""stimulus"":""target"",""lsl_t"":80331.080961}"
"80333.18833507621","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":47,""stimulus"":""target"",""lsl_t"":80333.188350}"
"80335.29801146346","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":48,""stimulus"":""target"",""lsl_t"":80335.298026}"
"80337.40216865073","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":49,""stimulus"":""target"",""lsl_t"":80337.402183}"
"80339.51178593797","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":50,""stimulus"":""target"",""lsl_t"":80339.511801}"
"80341.62037772521","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":51,""stimulus"":""target"",""lsl_t"":80341.620393}"
"80343.72789131246","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":52,""stimulus"":""target"",""lsl_t"":80343.727906}"
"80345.83418359973","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":53,""stimulus"":""target"",""lsl_t"":80345.834198}"
"80347.94370028697","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":54,""stimulus"":""target"",""lsl_t"":80347.943715}"
"80350.05056187422","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":55,""stimulus"":""target"",""lsl_t"":80350.050577}"
"80352.15865896147","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":56,""stimulus"":""target"",""lsl_t"":80352.158674}"
"80354.26649004873","{""event"":""trial_onset"",""participant"":105,""block"":1,""trial"":57,""stimulus"":""target"",""lsl_t"":80354.266505}"
