"TimestampLSL_s","Marker"
"241491.67147660945","{""event"":""EXP_START"",""participant"":1,""block"":1,""lsl_time_s"":241491.671497}"
"241491.67572890947","{""event"":""BLOCK_START"",""participant"":1,""block"":1,""lsl_time_s"":241491.675749}"
"241491.78098610986","{""event"":""first_trial_start"",""participant"":1,""block"":1,""trialIndex"":0,""lsl_time_s"":241491.781007}"
"241491.78098610986","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":0,""stimulus"":""target"",""lsl_t"":241491.781007}"
"241493.89196731715","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":1,""stimulus"":""target"",""lsl_t"":241493.891988}"
"241495.99541622447","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":2,""stimulus"":""target"",""lsl_t"":241495.995437}"
"241498.10498653178","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":3,""stimulus"":""target"",""lsl_t"":241498.105007}"
"241500.21110353907","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":4,""stimulus"":""target"",""lsl_t"":241500.211124}"
"241502.3191497464","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":5,""stimulus"":""target"",""lsl_t"":241502.319170}"
"241504.42476095373","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":6,""stimulus"":""target"",""lsl_t"":241504.424781}"
"241506.536277261","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":7,""stimulus"":""nonTarget"",""lsl_t"":241506.536298}"
"241508.64475036834","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":8,""stimulus"":""target"",""lsl_t"":241508.644771}"
"241510.75499577567","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":9,""stimulus"":""target"",""lsl_t"":241510.755016}"
"241512.86042378296","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":10,""stimulus"":""target"",""lsl_t"":241512.860444}"
"241514.96710369026","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":11,""stimulus"":""target"",""lsl_t"":241514.967124}"
"241517.07561049762","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":12,""stimulus"":""target"",""lsl_t"":241517.075631}"
"241519.18285600492","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":13,""stimulus"":""target"",""lsl_t"":241519.182876}"
"241521.2945830122","{""event"":""trial_onset"",""participant"":1,""block"":1,""trial"":14,""stimulus"":""target"",""lsl_t"":241521.294603}"
